
 Recuentos por universidad
PDI en centros adscritos de universidades públicas por universidad, categoría y sexo
Unidades: Personal

;Ambos sexos;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;
;PDI Total;;;;;;;;;PDI ETC;;;;;;;;;PDI Total;;;;;;;;;PDI ETC;;;;;;;;;PDI Total;;;;;;;;;PDI ETC;;;;;;;;;
;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;
Total;
    F. y E.S: Nivel IV. Profesor Asociado;..;..;..;..;..;..;..;..;..;6;6;6;6;5;5;5;6;6;..;..;..;..;..;..;..;..;..;6;6;6;6;4;4;4;5;5;.;.;.;.;.;.;.;.;.;1;1;1;1;1;1;1;1;1;
    F. y E.S: Nivel V y VI. Profesor Ayudante, Auxiliar o Colaborador;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    Escuelas Universitarias y Otras Enseñanzas (E.U y Otras);..;..;..;..;..;..;..;..;..;19;19;20;..;..;11;9;11;11;..;..;..;..;..;..;..;..;..;12;12;12;11;12;7;6;7;7;..;..;..;..;..;..;..;..;..;7;7;8;8;8;4;4;4;4;
    E.U y Otras: Nivel I. Profesor Agregado y Titular;..;.;.;.;.;.;.;.;.;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;.;.;.;.;.;.;.;.;
    E.U y Otras: Nivel II. Profesor Adjunto y Contratado Doctor;.;.;.;.;.;.;.;.;.;.;1;1;1;2;.;.;.;.;.;..;..;..;..;.;.;.;.;.;..;..;..;..;.;.;.;.;.;..;.;.;.;.;.;.;.;.;..;1;1;1;.;.;.;.;
    E.U y Otras: Nivel III y Nivel IV. Profesor Asociado, Ayudante, Auxiliar y Colaborador;..;..;..;..;..;..;..;..;..;14;19;19;18;18;11;9;11;11;..;..;..;..;..;..;..;..;..;9;12;12;11;..;7;6;7;7;..;..;..;..;..;..;..;..;..;5;7;7;7;6;4;4;4;4;
    Otro personal docente;.;.;..;..;.;.;.;..;..;.;.;..;..;0;0;0;2;..;.;.;..;..;.;.;.;.;.;.;.;..;..;0;0;0;1;..;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;1;1;
Alcalá;
    Total;..;..;..;..;..;..;..;..;..;34;34;35;40;40;42;42;44;43;..;..;..;..;..;..;..;..;..;17;18;19;23;23;25;25;26;26;..;..;..;..;..;..;..;..;..;16;17;15;17;17;17;17;18;17;
    Facultades y Escuelas Superiores (F. y E.S);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel I. Profesor Director, Ordinario y Catedrático;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel II. Profesor Agregado y Titular;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
    F. y E.S: Nivel III. Profesor Adjunto, Contratado Doctor y Ayudante Doctor;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
