Universidad,Comunidad autónoma,Provincia,Tipo de universidad,Modalidad de universidad,dimension_source
Privada Presencial,España,Total,Privada,Presencial,aggregate_row
Pública,España,Total,Pública,,aggregate_row
Pública Especial,España,Total,Pública,Especial,aggregate_row
Pública No Presencial,España,Total,Pública,No Presencial,aggregate_row
Pública Presencial,España,Total,Pública,Presencial,aggregate_row
Pública de Navarra,C. Foral de Navarra,Navarra,Pública,Presencial,curated_from_map_image
Públicas,España,Total,Total,Total,aggregate_row
Ramón Llull,Cataluña,Barcelona,Privada,Presencial,curated_from_map_image
Rey Juan Carlos,Comunidad de Madrid,Madrid,Pública,Presencial,curated_from_map_image
Rovira i Virgili,Cataluña,Tarragona,Pública,Presencial,curated_from_map_image
Salamanca,Castilla y León,Salamanca,Pública,Presencial,curated_from_map_image
San Jorge,Aragón,Zaragoza,Privada,Presencial,curated_from_map_image
San Pablo-CEU,Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Santiago de Compostela,Galicia,A Coruña,Pública,Presencial,curated_from_map_image
Sevilla,Andalucía,Sevilla,Pública,Presencial,curated_from_map_image
Total,España,Total,Total,Total,aggregate_row
"Universidad de Diseño, Innovación y Tecnología (UD",Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Valladolid,Castilla y León,Valladolid,Pública,Presencial,curated_from_map_image
València (Estudi General),Comunitat Valenciana,Valencia/València,Pública,Presencial,curated_from_map_image
Vic-Central de Catalunya,Cataluña,Barcelona,Privada,Presencial,curated_from_map_image
Vigo,Galicia,Pontevedra,Pública,Presencial,curated_from_map_image
Zaragoza,Aragón,Zaragoza,Pública,Presencial,curated_from_map_image
